Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_AdjClose,AAPL_Volume,SPY_Close,SPY_Volume,SPY_Open,SPY_High,SPY_Low,VIX_Open,VIX_High,VIX_Low,VIX_Close,GS10,AAPL_Return,SPY_Return,VIX_Change,SPY_Range,VIX_Range,AAPL_HL_Range,SPY_Lag1,AAPL_Lag1,VIX_Lag1,LogVolSPY,LogVolAAPL,AAPL_SMA5,AAPL_SMA20,AAPL_Dist_SMA20,AAPL_Vol20,SPY_Vol20,AAPL_Mom5,AAPL_Mom20,AAPL_Intraday,AAPL_SPY_Ratio,GS10_x_VIX,AAPL_Vol_Z,AAPL_Boll,DayOfWeek
2016-05-26,99.68000030517578,100.7300033569336,98.63999938964844,100.41000366210938,94.68917846679688,56331200,209.34,55114340.0,209.44,209.71,208.97,13.8,14.11,13.43,13.43,1.81,0.792994330185981,0.028669724770646887,-0.47000000000000064,0.3534919270086983,0.6799999999999997,2.0814698646145335,0.6783085582335202,1.7569090578235302,-0.5199999999999996,17.824920494346408,17.846759113679674,97.91600189208984,94.39999961853027,6.3665297329083534,1.350784771470603,0.7178424900586556,6.592364028715658,5.884215673638615,0.7323468646655783,0.4796503471009333,24.3083,0.8960077819391554,1.1665722770645521,3
2016-05-27,99.44000244140624,100.47000122070312,99.25,100.3499984741211,94.63259887695312,36341200,210.24,62797750.0,209.53,210.25,209.47,13.49,13.76,13.04,13.12,1.81,-0.05975296307337841,0.4299226139294898,-0.3100000000000005,0.3710045662100462,0.7200000000000006,1.2157461278066155,0.028669724770646887,0.792994330185981,-0.47000000000000064,17.95542980277111,17.408462641851056,98.94200134277344,94.73049964904786,5.932090346712025,1.3095136774990206,0.7088227886913446,5.387520675963375,7.0514196298124165,0.9151206862158532,0.477311636577821,23.7472,-0.5480586414467323,0.9717274203756634,4
2016-05-31,99.5999984741211,100.4000015258789,98.81999969482422,99.86000061035156,94.17052459716795,42307200,209.84,109644300.0,210.56,210.69,209.18,13.94,15.0,13.45,14.19,1.81,-0.4882823522431079,-0.19025875190259445,1.0700000000000003,0.7195958825771973,1.5500000000000007,1.5822169250927318,0.4299226139294898,-0.05975296307337841,-0.3100000000000005,18.512752047892846,17.560467842297914,99.6280014038086,95.041499710083,5.069891484211674,1.3197159186664285,0.6917684562685597,3.556984646189698,6.6424618338802865,0.2610463255157827,0.47588639253884657,25.6839,-0.02667038854945959,0.778344756006585,1
2016-06-01,99.0199966430664,99.54000091552734,98.33000183105467,98.45999908447266,92.85027313232422,29173300,210.27,69743400.0,209.12,210.48,208.89,14.45,15.25,14.18,14.2,1.64,-1.4019795158743742,0.2049180327868827,0.009999999999999787,0.756170637751464,1.0700000000000003,1.2289245335403316,-0.19025875190259445,-0.4882823522431079,1.0700000000000003,18.060333350532733,17.188764465373204,99.74000091552735,95.20549964904785,3.4183943652643314,1.3394072484499016,0.657633717576849,0.5720097547145864,3.4461008287247408,-0.5655398682877679,0.4682550962309062,23.287999999999997,-1.0222881431503932,0.5103394121430045,2
2016-06-02,97.5999984741211,97.83999633789062,96.62999725341795,97.72000122070312,92.15245819091795,40191600,210.91,62885190.0,209.8,210.93,209.2399,14.42,14.92,13.62,13.63,1.64,-0.7515486146301154,0.304370571170387,-0.5699999999999985,0.8013370632023142,1.3000000000000007,1.2382307300015856,0.2049180327868827,-1.4019795158743742,0.009999999999999787,17.956821240847077,17.509168576531184,99.36000061035156,95.38199958801269,2.451197964803695,1.3267436958874734,0.640236913586549,-1.9072490197698855,3.747742528717768,0.12295363571532258,0.4633255949016316,22.3532,-0.08547860356784882,0.36227158289440425,3
2016-06-03,97.79000091552734,98.2699966430664,97.4499969482422,97.91999816894533,92.34104919433594,28504900,210.28,101655600.0,210.25,210.69,208.86,13.78,14.66,12.9,13.47,1.64,0.20465108269522858,-0.2987056090275497,-0.16000000000000014,0.8702682138101504,1.7599999999999998,0.8374180046546017,0.304370571170387,-0.7515486146301154,-0.5699999999999985,18.4371011875197,17.165586560285202,98.86199951171875,95.61599960327149,2.4096370641247846,1.3185143992675152,0.6469957561567444,-2.4798380662779285,5.019305461604184,0.13293511831570262,0.46566481914088514,22.090799999999998,-1.0191374173397059,0.3563207564234837,4
2016-06-06,97.98999786376952,101.88999938964844,97.5500030517578,98.62999725341795,93.01058959960938,23292500,211.35,64648460.0,210.7,211.77,210.51,13.84,14.27,13.42,13.65,1.64,0.7250734219668153,0.5088453490583955,0.17999999999999972,0.5961674946770851,0.8499999999999996,4.400280298842085,-0.2987056090275497,0.20465108269522858,-0.16000000000000014,17.984474842326115,16.96364197830672,98.51799926757812,95.91149940490723,2.8343815552649287,1.3081428810304123,0.6505192775252274,-1.7140022390201626,6.374024972936709,0.6531272615580581,0.46666665367124655,22.386,-1.3020332813941022,0.42153918947412244,0
2016-06-07,99.25,99.87000274658205,98.95999908447266,99.02999877929688,93.38780975341795,22409500,211.68,60838610.0,211.525,212.34,211.5,12.77,14.05,12.72,14.05,1.64,0.40556688806343555,0.15613910574876488,0.40000000000000036,0.39682539682539847,1.33,0.9189171698744216,0.5088453490583955,0.7250734219668153,0.17999999999999972,17.923735178283067,16.92499553406011,98.35199890136718,96.2234992980957,2.9166466628975667,1.3070103301146287,0.6504011963461656,-0.8311654576223293,6.724860224379348,-0.2216636984414358,0.4678287924192029,23.041999999999998,-1.2788953561739,0.4373663223919745,1
2016-06-08,99.0199966430664,99.55999755859376,98.68000030517578,98.94000244140624,93.3029327392578,20848100,212.37,66060100.0,211.84,212.52,211.6899,13.84,14.27,13.7,14.08,1.64,-0.0908866097023453,0.3259637188208542,0.02999999999999936,0.39087441729058525,0.5700000000000003,0.8894251381680839,0.15613910574876488,0.40556688806343555,0.40000000000000036,18.00607549170113,16.85277337495844,98.4479995727539,96.49949951171875,2.529031696574874,1.3076529239322643,0.5988148875442821,0.48751103127857576,5.908803661586748,-0.08078590625338283,0.46588502350334904,23.091199999999997,-1.291237036932275,0.38229256250895066,2
2016-06-09,98.5,99.98999786376952,98.45999908447266,99.6500015258789,93.97248077392578,26601400,212.08,73672890.0,211.51,212.22,211.19,14.01,14.85,13.99,14.64,1.64,0.7176066335868425,-0.1365541272307702,0.5600000000000005,0.4856657864956625,0.8599999999999994,1.535372559828334,0.3259637188208542,-0.0908866097023453,0.02999999999999936,18.115145446883723,17.096474403945884,98.83399963378906,96.85649948120117,2.8841658119390603,1.2755246108943767,0.5512182021390942,1.975030987583426,7.718083693408673,1.1675142394709708,0.46986986762485333,24.0096,-0.8605804158109572,0.44757131301372305,3
2016-06-10,98.52999877929688,99.3499984741211,98.4800033569336,98.83000183105467,93.19921112060548,31712900,210.07,113245800.0,210.46,210.86,209.43,14.89,17.33,14.85,17.03,1.64,-0.8228681917854086,-0.9477555639381463,2.3900000000000006,0.6807254724615637,2.4799999999999986,0.8802945472719068,-0.1365541272307702,0.7176066335868425,0.5600000000000005,18.545071235546995,17.272234096132948,99.01600036621093,97.28099975585937,1.5922966242973933,1.1427925623138044,0.602019190903989,0.929333822636802,9.397836879923748,0.30447889523452926,0.47046223559315786,27.9292,-0.4294097769064853,0.28244478799182504,4
2016-06-13,98.69000244140624,99.12000274658205,97.0999984741211,97.33999633789062,91.79408264160156,38020500,208.4492,117376300.0,209.36,210.37,208.35,18.24,21.01,17.89,20.97,1.64,-1.5076613440274667,-0.7715523396962909,3.9399999999999977,0.9690610470081009,3.120000000000001,2.0752047960316635,-0.9477555639381463,-0.8228681917854086,2.3900000000000006,18.58089557104372,17.453636045911257,98.75800018310545,97.62199974060059,-0.28887279861024695,1.2238579502500058,0.5940212219135644,-1.307919447886452,7.534246517613652,-1.3679258994011374,0.46697227112356693,34.3908,0.19281150932813307,-0.06311330174498675,0
2016-06-14,97.31999969482422,98.4800033569336,96.75,97.45999908447266,91.90725708007812,31931900,208.04,124789100.0,208.0,208.74,206.9199,21.28,22.16,20.27,20.5,1.64,0.12329164933042591,-0.19630682199787142,-0.46999999999999886,0.8748798308017672,1.8900000000000006,1.7750906763646976,-0.7715523396962909,-1.5076613440274667,3.9399999999999977,18.642135670341673,17.279116068088157,98.44400024414061,97.80099983215332,-0.3486679566322374,0.9379126100972747,0.5579564877741304,-1.5853778796091844,3.8133808434089644,0.14385469593860173,0.46846759798342946,33.62,-0.2969926955417466,-0.08297962447084697,1
2016-06-15,97.81999969482422,98.41000366210938,97.02999877929688,97.13999938964844,91.60548400878906,29445200,207.75,108745400.0,208.54,209.36,207.53,20.25,20.45,18.63,20.14,1.64,-0.3283452045861113,-0.13939626994807774,-0.35999999999999943,0.8808664259927858,1.8200000000000003,1.4206350540285857,-0.19630682199787142,0.12329164933042591,-0.46999999999999886,18.50451992818787,17.198041466662414,98.08399963378906,97.98349990844727,-0.8608597565783773,0.9351449513062738,0.5120617305178713,-1.8192874543577986,3.9041625941606872,-0.6951546793060979,0.46758122449890943,33.0296,-0.5077534880799026,-0.2346067335245511,2
2016-06-16,96.4499969482422,97.75,96.06999969482422,97.5500030517578,91.99214935302734,31326800,208.37,149194500.0,206.73,208.57,205.59,20.8,22.89,19.24,19.37,1.64,0.42209846759957426,0.29843561973526,-0.7699999999999996,1.4301482939002685,3.650000000000002,1.722194005759704,-0.13939626994807774,-0.3283452045861113,-0.35999999999999943,18.82076138178369,17.259984519186506,97.66399993896485,98.13300018310547,-0.5940887675500175,0.9101921266947788,0.5144220116224075,-2.1073742518465943,3.1620194272015345,1.1404936633703482,0.4681576189075097,31.7668,-0.2217600361380496,-0.18073827828139527,3
2016-06-17,96.62000274658205,96.6500015258789,95.3000030517578,95.33000183105467,89.89860534667969,61008200,206.52,116531100.0,207.17,207.2,205.75,19.42,20.03,18.71,19.41,1.64,-2.2757855111239067,-0.8878437395018479,0.03999999999999915,0.7021111756730527,1.3200000000000003,1.4161318034102175,0.29843561973526,0.42209846759957426,-0.7699999999999996,18.573668748134175,17.926518839332697,96.96399993896485,98.18950042724609,-2.912224406631106,1.0563229643240373,0.5512459224147763,-3.5414347213947095,1.199580593864935,-1.3351282124373633,0.4616017907759765,31.8324,2.599302058566745,-0.9645472552363558,4
2016-06-20,96.0,96.56999969482422,95.02999877929688,95.0999984741211,89.68171691894531,34411900,207.85,81546570.0,208.82,209.61,207.75,17.42,18.55,16.59,18.37,1.64,-0.2412589460069836,0.644005423203553,-1.0399999999999991,0.8948761125811949,1.9600000000000009,1.6193490433613555,-0.8878437395018479,-2.2757855111239067,0.03999999999999915,18.21668482606091,17.35391299275612,96.51600036621093,98.18350028991699,-3.1405498955434576,1.030345941358187,0.5519246326514848,-2.301210137705323,-0.12602682739299986,-0.937501589457194,0.4575414889300991,30.1268,-0.0343072532159952,-1.0311743003501264,0
2016-06-21,94.94000244140624,96.3499984741211,94.68000030517578,95.91000366210938,90.445556640625,35546400,208.44,72259730.0,208.3,208.92,207.78,17.67,18.96,16.91,18.48,1.64,0.851722901748242,0.283858551840277,0.10999999999999943,0.5469199769717838,2.0500000000000007,1.7412137474509026,0.644005423203553,-0.2412589460069836,-1.0399999999999991,18.095777547169728,17.38634944326301,96.20600128173828,98.15750045776367,-2.289684216868764,1.0071179376324937,0.5521143976408399,-1.590391377922995,-0.5392477874320734,1.0216991739617778,0.4601324297740807,30.307199999999998,0.09017725209926591,-0.733842060742984,1
2016-06-22,96.25,96.88999938964844,95.3499984741211,95.5500030517578,90.10609436035156,29219100,208.1,94503660.0,208.65,209.5,207.93,18.26,21.22,17.83,21.17,1.64,-0.37532223017019417,-0.16311648436000414,2.6900000000000013,0.7544449783757776,3.3900000000000006,1.6117225184107546,0.283858551840277,0.851722901748242,0.10999999999999943,18.364149121872707,17.190333162991116,95.88800201416015,98.04000053405761,-2.53977709989386,0.9409855445675753,0.47372562279177244,-1.6368090877917685,-2.4004069841611853,-0.7272695566152745,0.45915426742795673,34.7188,-0.5034868772019637,-0.7598283619081451,2
